,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-eyrewell-irrigated,01,A,A,25,91.63,81.48,66.43,47.63,14.47,5.56,4.91,17.78,44.65,66.54,86.34,97.38,97.46,86.96,67.45,48.64,24.9,8.42,,,,,,
m01-A-A-5-eyrewell-irrigated,01,A,A,5,91.6,81.46,66.3,47.55,14.31,5.61,4.97,17.8,44.62,66.74,86.15,97.28,97.66,86.93,67.71,48.7,24.89,8.28,,,,,,
m01-A-A-50-eyrewell-irrigated,01,A,A,50,91.4,81.34,66.33,47.49,14.48,5.45,4.87,17.95,44.84,66.71,86.21,97.45,97.25,86.61,67.76,48.54,25.01,8.45,,,,,,
m01-A-A-75-eyrewell-irrigated,01,A,A,75,87.62,80.24,66.16,47.57,14.31,5.34,4.87,17.51,44.77,66.48,86.13,97.19,92.99,84.74,67.65,48.42,24.94,8.34,,,,,,
m01-A-A-95-eyrewell-irrigated,01,A,A,95,76.91,76.88,65.43,47.22,14.2,5.26,4.71,17.51,44.26,65.95,85.92,96.53,82.48,80.23,66.67,48.21,24.79,8.26,,,,,,
m01-A-C-25-eyrewell-irrigated,01,A,C,25,83.41,81.56,66.98,47.98,14.55,5.59,4.96,17.91,44.96,66.75,86.14,97.24,93.73,86.05,68.64,49.3,25.25,8.65,,,,,,
m01-A-C-5-eyrewell-irrigated,01,A,C,5,83.24,81.82,67.0,48.03,14.58,5.72,4.91,18.16,44.96,66.54,86.33,97.39,93.78,86.09,68.57,49.18,25.14,8.6,,,,,,
m01-A-C-50-eyrewell-irrigated,01,A,C,50,83.36,81.73,67.0,47.88,14.48,5.74,4.93,17.86,45.02,66.61,86.31,97.23,93.69,86.02,68.59,48.96,25.09,8.76,,,,,,
m01-A-C-75-eyrewell-irrigated,01,A,C,75,81.5,80.76,66.96,47.92,14.58,5.54,4.93,17.9,44.85,66.6,86.2,97.18,91.19,84.94,68.58,49.1,25.07,8.54,,,,,,
m01-A-C-95-eyrewell-irrigated,01,A,C,95,72.89,77.46,66.32,47.51,14.47,5.64,4.88,17.92,44.47,66.24,85.82,96.67,81.57,80.86,68.0,48.65,24.94,8.36,,,,,,
m01-A-H-25-eyrewell-irrigated,01,A,H,25,96.86,81.03,65.21,47.04,14.38,5.36,4.66,17.42,44.46,66.32,86.16,97.22,99.4,87.15,66.27,47.96,24.63,8.35,,,,,,
m01-A-H-5-eyrewell-irrigated,01,A,H,5,96.75,81.06,65.26,46.93,14.34,5.26,4.78,17.38,44.23,66.2,86.03,97.34,99.46,87.21,66.46,47.92,24.79,8.31,,,,,,
m01-A-H-50-eyrewell-irrigated,01,A,H,50,96.76,80.86,65.34,47.04,14.17,5.34,4.7,17.56,44.47,66.02,86.22,97.32,99.21,87.01,66.64,47.91,24.73,8.28,,,,,,
m01-A-H-75-eyrewell-irrigated,01,A,H,75,92.07,79.62,65.28,47.1,14.33,5.39,4.62,17.57,44.61,66.24,86.11,96.82,94.5,84.87,66.49,47.93,24.84,8.22,,,,,,
