,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-eyrewell-store400,01,A,A,25,92.63,82.27,67.15,48.01,14.54,5.77,4.95,18.11,45.21,67.24,86.64,97.71,98.14,87.59,68.17,49.01,25.27,8.52,,,,,,
m01-A-A-5-eyrewell-store400,01,A,A,5,92.62,82.47,67.12,48.1,14.6,5.68,5.0,17.98,45.2,67.06,86.69,97.87,98.22,87.42,68.13,48.76,25.21,8.41,,,,,,
m01-A-A-50-eyrewell-store400,01,A,A,50,92.68,82.39,67.11,47.89,14.54,5.63,5.07,17.98,45.1,67.1,86.81,98.01,97.99,87.5,68.36,48.77,25.08,8.39,,,,,,
m01-A-A-75-eyrewell-store400,01,A,A,75,92.79,82.22,67.11,47.96,14.39,5.72,5.0,18.06,45.43,67.08,86.59,97.79,98.14,87.55,68.32,48.95,25.19,8.56,,,,,,
m01-A-A-95-eyrewell-store400,01,A,A,95,92.07,81.81,67.14,48.06,14.48,5.62,4.86,18.09,45.33,67.2,86.78,97.79,97.67,86.69,68.18,48.76,25.22,8.56,,,,,,
m01-A-C-25-eyrewell-store400,01,A,C,25,84.53,82.44,67.93,48.44,14.59,5.87,5.09,18.18,45.45,67.21,86.74,97.83,94.47,86.68,69.2,49.32,25.46,8.8,,,,,,
m01-A-C-5-eyrewell-store400,01,A,C,5,84.24,82.52,67.71,48.28,14.65,5.78,5.26,18.24,45.5,67.44,86.82,97.88,94.42,86.46,69.13,49.41,25.38,8.57,,,,,,
m01-A-C-50-eyrewell-store400,01,A,C,50,84.56,82.73,67.7,48.41,14.69,5.78,5.09,18.12,45.47,67.38,86.8,97.82,94.41,86.53,69.22,49.38,25.3,8.66,,,,,,
m01-A-C-75-eyrewell-store400,01,A,C,75,84.38,82.5,67.7,48.5,14.69,5.62,5.15,18.19,45.34,67.34,86.8,97.93,94.35,86.55,69.32,49.38,25.3,8.71,,,,,,
m01-A-C-95-eyrewell-store400,01,A,C,95,84.43,82.41,67.77,48.33,14.6,5.77,5.08,18.11,45.47,67.16,86.71,97.82,94.33,86.16,69.41,49.36,25.4,8.62,,,,,,
m01-A-H-25-eyrewell-store400,01,A,H,25,97.72,81.78,66.14,47.48,14.48,5.5,5.02,17.93,45.1,66.88,86.7,97.97,99.84,87.85,66.94,48.36,24.9,8.4,,,,,,
m01-A-H-5-eyrewell-store400,01,A,H,5,97.78,81.72,66.06,47.53,14.48,5.61,5.02,17.94,44.84,66.97,86.68,97.91,99.78,87.88,66.97,48.12,24.91,8.31,,,,,,
m01-A-H-50-eyrewell-store400,01,A,H,50,97.72,81.85,66.11,47.5,14.41,5.56,4.87,18.03,44.83,66.92,86.83,97.75,99.82,87.91,67.04,48.24,24.95,8.36,,,,,,
m01-A-H-75-eyrewell-store400,01,A,H,75,97.76,81.78,66.19,47.48,14.35,5.52,5.0,17.87,44.94,66.86,86.63,97.85,99.67,87.84,67.14,48.21,24.87,8.34,,,,,,
m01-A-H-95-eyrewell-store400,01,A,H,95,97.1,81.17,66.19,47.5,14.48,5.42,4.98,17.94,44.91,66.94,86.45,97.7,99.18,86.85,67.02,48.26,24.79,8.39,,,,,,
m01-D-A-25-eyrewell-store400,01,D,A,25,94.57,82.35,67.14,48.08,14.54,5.59,5.16,17.83,45.0,67.14,86.76,98.34,100.61,87.62,68.35,48.87,25.16,8.65,,,,,,
m01-D-A-5-eyrewell-store400,01,D,A,5,94.36,82.48,67.19,47.98,14.6,5.62,4.97,18.1,45.3,67.06,86.69,98.18,100.71,87.42,68.29,48.92,25.21,8.4,,,,,,
m01-D-A-50-eyrewell-store400,01,D,A,50,94.53,82.51,67.16,47.98,14.42,5.58,5.03,17.95,45.27,67.14,86.76,98.26,100.76,87.61,68.35,48.95,25.19,8.6,,,,,,
m01-D-A-75-eyrewell-store400,01,D,A,75,92.86,76.93,66.41,47.67,14.38,5.6,4.83,17.83,45.03,67.06,86.53,98.02,98.17,80.46,67.24,48.52,25.01,8.55,,,,,,
m01-D-A-95-eyrewell-store400,01,D,A,95,67.77,58.75,60.55,44.94,13.7,4.97,4.16,16.48,42.96,64.66,85.22,96.32,73.28,58.62,61.19,45.36,23.66,7.5,,,,,,
m01-D-C-25-eyrewell-store400,01,D,C,25,86.26,82.53,67.79,48.42,14.67,5.56,5.08,18.31,45.51,67.45,86.64,98.15,96.7,86.74,69.38,49.43,25.46,8.67,,,,,,
m01-D-C-5-eyrewell-store400,01,D,C,5,86.28,82.6,67.85,48.22,14.62,5.66,5.01,18.21,45.42,67.43,86.71,98.12,96.61,86.81,69.29,49.53,25.33,8.52,,,,,,
m01-D-C-50-eyrewell-store400,01,D,C,50,86.3,82.53,67.93,48.48,14.62,5.79,5.06,17.96,45.65,67.14,86.8,97.98,96.62,86.79,69.3,49.38,25.34,8.79,,,,,,
m01-D-C-75-eyrewell-store400,01,D,C,75,85.33,76.04,67.0,48.13,14.35,5.65,5.07,18.08,45.36,67.06,86.51,98.08,94.58,80.18,68.33,49.32,25.16,8.76,,,,,,
m01-D-C-95-eyrewell-store400,01,D,C,95,61.26,57.45,60.8,45.22,13.8,4.85,4.27,16.68,42.86,64.93,85.06,96.02,70.8,56.83,62.02,45.85,23.74,7.66,,,,,,
m01-D-H-25-eyrewell-store400,01,D,H,25,98.69,81.92,66.05,47.41,14.32,5.6,4.79,17.68,44.79,66.68,86.66,97.93,101.45,87.88,67.24,48.19,24.91,8.28,,,,,,
m01-D-H-5-eyrewell-store400,01,D,H,5,98.74,81.96,66.11,47.46,14.54,5.54,4.92,18.13,44.83,67.12,86.54,97.98,101.44,87.87,67.28,48.28,25.02,8.47,,,,,,
m01-D-H-50-eyrewell-store400,01,D,H,50,98.6,81.58,66.05,47.5,14.39,5.54,4.81,17.75,45.13,66.77,86.56,97.9,101.42,87.58,67.07,48.29,24.84,8.49,,,,,,
m01-D-H-75-eyrewell-store400,01,D,H,75,95.38,73.6,64.74,47.11,14.33,5.57,4.92,17.7,44.58,66.48,86.54,97.77,97.46,78.18,65.62,47.94,24.75,8.36,,,,,,
m01-D-H-95-eyrewell-store400,01,D,H,95,66.59,55.16,57.93,43.61,13.39,4.68,4.01,16.13,42.0,63.71,84.73,95.72,69.7,54.76,58.22,43.86,22.97,7.19,,,,,,
m01-W-A-25-eyrewell-store400,01,W,A,25,90.45,82.37,67.01,48.06,14.5,5.76,5.02,18.05,45.17,67.13,86.67,97.85,96.32,87.35,68.38,48.89,25.0,8.6,,,,,,
m01-W-A-5-eyrewell-store400,01,W,A,5,90.45,82.4,67.08,47.99,14.7,5.63,4.98,18.24,45.16,67.15,86.69,97.65,96.32,87.36,68.3,48.92,25.2,8.54,,,,,,
m01-W-A-50-eyrewell-store400,01,W,A,50,90.58,82.36,67.21,47.96,14.38,5.66,4.96,17.98,45.28,67.17,86.8,97.65,96.2,87.36,68.23,48.92,25.2,8.57,,,,,,
m01-W-A-75-eyrewell-store400,01,W,A,75,90.41,82.32,67.09,48.03,14.4,5.66,4.84,18.15,45.3,67.16,86.79,97.75,96.39,87.51,68.27,48.87,25.16,8.44,,,,,,
m01-W-A-95-eyrewell-store400,01,W,A,95,90.4,82.39,67.12,48.18,14.33,5.63,4.98,18.12,44.98,67.05,86.64,97.86,96.21,87.28,68.39,48.92,25.08,8.7,,,,,,
m01-W-C-25-eyrewell-store400,01,W,C,25,80.59,82.47,67.79,48.26,14.67,5.82,5.11,18.1,45.3,67.21,86.67,97.58,90.98,86.22,69.32,49.59,25.44,8.6,,,,,,
m01-W-C-5-eyrewell-store400,01,W,C,5,80.61,82.53,67.9,48.32,14.69,5.62,5.23,18.26,45.4,67.21,86.77,97.49,90.72,86.33,69.26,49.45,25.39,8.52,,,,,,
m01-W-C-50-eyrewell-store400,01,W,C,50,80.61,82.53,67.91,48.44,14.7,5.75,5.13,18.14,45.35,67.17,86.72,97.5,90.98,86.21,69.3,49.28,25.37,8.7,,,,,,
m01-W-C-75-eyrewell-store400,01,W,C,75,80.73,82.69,67.96,48.42,14.55,5.81,5.2,18.13,45.46,67.26,86.83,97.52,90.77,86.28,69.33,49.55,25.37,8.53,,,,,,
m01-W-C-95-eyrewell-store400,01,W,C,95,80.9,82.48,67.83,48.43,14.46,5.74,5.18,17.87,45.56,67.12,86.84,97.38,90.87,86.06,69.41,49.47,25.35,8.67,,,,,,
m01-W-H-25-eyrewell-store400,01,W,H,25,94.75,81.45,65.4,47.2,14.47,5.37,4.72,17.68,44.84,66.63,86.66,97.42,96.52,87.5,66.53,47.95,24.9,8.31,,,,,,
m01-W-H-5-eyrewell-store400,01,W,H,5,94.86,81.52,65.52,47.34,14.31,5.58,4.77,17.69,44.71,66.69,86.61,97.4,96.58,87.46,66.74,47.93,24.87,8.38,,,,,,
m01-W-H-50-eyrewell-store400,01,W,H,50,94.51,81.42,65.57,47.21,14.29,5.49,4.93,17.47,44.8,66.72,86.66,97.39,96.49,87.6,66.57,48.04,24.83,8.28,,,,,,
m01-W-H-75-eyrewell-store400,01,W,H,75,94.64,81.57,65.7,47.33,14.35,5.51,4.78,17.75,44.8,66.71,86.63,97.3,96.65,87.26,66.49,48.12,24.75,8.29,,,,,,
m01-W-H-95-eyrewell-store400,01,W,H,95,94.71,81.38,65.5,47.31,14.44,5.4,4.78,17.45,44.67,66.65,86.61,97.37,96.29,87.22,66.55,47.88,24.75,8.39,,,,,,
m02-A-A-25-eyrewell-store400,02,A,A,25,82.48,67.11,47.96,14.52,5.59,5.1,18.12,45.06,67.17,86.74,97.88,98.17,87.51,68.2,48.92,25.02,8.34,,,,,,,
m02-A-A-5-eyrewell-store400,02,A,A,5,82.23,66.96,47.87,14.64,5.64,4.93,18.12,45.23,67.11,86.69,97.83,98.17,87.58,68.3,48.89,25.19,8.42,,,,,,,
m02-A-A-50-eyrewell-store400,02,A,A,50,82.2,67.11,47.94,14.41,5.61,5.11,18.2,45.22,67.08,86.69,98.01,98.04,87.58,68.24,48.93,25.19,8.28,,,,,,,
m02-A-A-75-eyrewell-store400,02,A,A,75,82.29,67.07,48.02,14.63,5.73,4.93,18.16,45.2,67.12,86.67,97.96,98.3,87.47,68.15,48.91,25.05,8.52,,,,,,,
