,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-eyrewell-store600,01,A,A,25,93.4,83.07,67.58,48.3,14.61,5.66,5.03,18.34,45.36,67.46,86.99,98.5,98.42,88.09,68.68,49.08,25.15,8.43,,,,,,
m01-A-A-5-eyrewell-store600,01,A,A,5,93.3,82.84,67.49,48.23,14.7,5.67,5.14,18.08,45.55,67.6,87.13,98.15,98.51,88.1,68.39,49.2,25.25,8.59,,,,,,
m01-A-A-50-eyrewell-store600,01,A,A,50,93.35,82.8,67.53,48.2,14.58,5.87,5.05,18.14,45.49,67.43,86.93,98.18,98.46,87.86,68.52,48.98,25.22,8.63,,,,,,
m01-A-A-75-eyrewell-store600,01,A,A,75,93.28,82.93,67.4,48.37,14.76,5.65,5.28,18.17,45.52,67.66,87.16,98.34,98.43,87.75,68.43,49.06,25.11,8.44,,,,,,
m01-A-A-95-eyrewell-store600,01,A,A,95,93.09,82.84,67.37,48.24,14.76,5.8,5.08,18.19,45.63,67.51,86.94,98.32,98.5,87.95,68.51,48.97,25.37,8.72,,,,,,
m01-A-C-25-eyrewell-store600,01,A,C,25,84.92,83.23,68.19,48.52,14.63,5.79,5.24,18.47,45.75,67.8,87.13,98.3,94.87,87.05,69.38,49.58,25.32,8.85,,,,,,
m01-A-C-5-eyrewell-store600,01,A,C,5,85.1,83.06,68.34,48.59,14.8,5.84,5.15,18.35,45.95,67.85,86.99,98.05,94.77,86.94,69.47,49.5,25.43,8.95,,,,,,
m01-A-C-50-eyrewell-store600,01,A,C,50,85.13,83.02,68.09,48.64,14.67,5.89,5.11,18.33,45.86,67.59,87.0,98.2,94.83,86.89,69.55,49.64,25.59,8.78,,,,,,
m01-A-C-75-eyrewell-store600,01,A,C,75,85.18,83.09,68.23,48.75,14.69,5.82,5.12,18.24,45.69,67.68,87.28,98.01,94.77,86.92,69.58,49.61,25.41,8.59,,,,,,
m01-A-C-95-eyrewell-store600,01,A,C,95,84.93,83.06,68.24,48.59,14.72,5.87,5.08,18.3,45.75,67.52,87.05,98.21,94.75,86.76,69.56,49.54,25.48,8.64,,,,,,
m01-A-H-25-eyrewell-store600,01,A,H,25,98.31,82.35,66.47,47.71,14.45,5.65,5.03,18.05,45.26,67.14,87.07,98.09,100.24,88.18,67.19,48.43,24.98,8.38,,,,,,
m01-A-H-5-eyrewell-store600,01,A,H,5,98.32,82.34,66.6,47.66,14.46,5.67,4.97,18.02,45.24,67.2,87.1,98.09,100.14,88.14,67.23,48.51,25.02,8.33,,,,,,
m01-A-H-50-eyrewell-store600,01,A,H,50,98.3,82.47,66.51,47.9,14.62,5.59,5.04,18.06,45.03,67.27,86.89,98.15,100.25,88.12,67.38,48.47,24.83,8.31,,,,,,
m01-A-H-75-eyrewell-store600,01,A,H,75,98.22,82.4,66.46,47.7,14.5,5.54,4.93,18.13,45.09,67.22,86.91,98.17,100.34,88.35,67.2,48.38,24.83,8.38,,,,,,
m01-A-H-95-eyrewell-store600,01,A,H,95,98.33,82.26,66.51,47.67,14.47,5.7,4.92,17.92,45.36,67.05,86.99,98.16,100.24,88.13,67.22,48.41,24.8,8.41,,,,,,
m01-D-A-25-eyrewell-store600,01,D,A,25,95.01,83.02,67.58,48.42,14.69,5.54,5.02,18.27,45.48,67.41,87.1,98.56,101.09,88.07,68.74,48.97,25.2,8.75,,,,,,
m01-D-A-5-eyrewell-store600,01,D,A,5,95.05,82.85,67.6,48.11,14.64,5.73,5.05,18.32,45.65,67.47,86.86,98.58,101.1,87.86,68.57,49.11,25.33,8.54,,,,,,
m01-D-A-50-eyrewell-store600,01,D,A,50,95.15,82.82,67.57,48.34,14.64,5.98,5.15,18.48,45.53,67.41,87.1,98.5,101.03,87.82,68.69,49.11,25.22,8.55,,,,,,
m01-D-A-75-eyrewell-store600,01,D,A,75,95.19,81.59,67.47,48.24,14.57,5.75,5.14,18.24,45.49,67.53,87.17,98.31,100.88,86.6,68.41,49.1,25.27,8.55,,,,,,
m01-D-A-95-eyrewell-store600,01,D,A,95,81.37,64.93,63.63,46.83,14.19,5.49,4.68,17.69,44.41,66.24,86.35,97.78,87.62,65.19,64.41,47.27,24.45,7.94,,,,,,
m01-D-C-25-eyrewell-store600,01,D,C,25,86.9,83.18,68.2,48.8,14.74,5.89,5.27,18.28,45.7,67.68,87.05,98.5,97.11,87.0,69.56,49.71,25.45,8.57,,,,,,
m01-D-C-5-eyrewell-store600,01,D,C,5,87.01,83.1,68.35,48.58,14.65,5.79,5.2,18.38,45.88,67.64,87.14,98.49,97.06,87.07,69.45,49.66,25.46,8.8,,,,,,
m01-D-C-50-eyrewell-store600,01,D,C,50,87.01,83.14,68.42,48.85,14.74,5.72,5.14,18.38,45.73,67.59,87.04,98.66,97.09,87.25,69.42,49.69,25.6,8.69,,,,,,
m01-D-C-75-eyrewell-store600,01,D,C,75,86.86,81.56,67.99,48.61,14.79,5.65,5.03,18.45,45.81,67.57,87.04,98.26,96.8,85.3,69.09,49.51,25.46,8.56,,,,,,
m01-D-C-95-eyrewell-store600,01,D,C,95,75.03,65.63,64.8,47.19,14.45,5.48,4.86,17.71,44.73,66.55,86.39,97.48,84.69,64.54,65.6,47.82,24.76,8.16,,,,,,
m01-D-H-25-eyrewell-store600,01,D,H,25,99.29,82.57,66.38,47.79,14.52,5.57,4.96,18.12,45.25,67.05,86.97,98.48,101.86,88.44,67.25,48.61,25.12,8.41,,,,,,
m01-D-H-5-eyrewell-store600,01,D,H,5,99.55,82.34,66.49,47.9,14.6,5.58,5.15,18.17,45.45,67.02,86.98,98.23,101.71,88.24,67.4,48.44,24.99,8.45,,,,,,
m01-D-H-50-eyrewell-store600,01,D,H,50,99.41,82.39,66.46,47.77,14.62,5.52,5.07,18.11,45.45,67.36,86.84,98.49,102.04,88.35,67.21,48.57,25.02,8.41,,,,,,
m01-D-H-75-eyrewell-store600,01,D,H,75,99.39,79.91,66.0,47.65,14.43,5.54,4.83,17.95,45.2,67.13,86.68,98.3,101.17,85.36,67.09,48.33,25.14,8.35,,,,,,
m01-D-H-95-eyrewell-store600,01,D,H,95,80.71,61.58,61.68,45.84,13.84,5.21,4.39,17.35,43.93,65.56,86.04,97.35,84.63,61.64,61.97,46.14,23.92,7.89,,,,,,
m01-W-A-25-eyrewell-store600,01,W,A,25,90.91,83.09,67.54,48.32,14.69,5.74,5.08,18.49,45.44,67.56,87.16,98.12,96.57,87.84,68.58,49.05,25.29,8.6,,,,,,
m01-W-A-5-eyrewell-store600,01,W,A,5,90.97,83.02,67.62,48.24,14.61,5.7,5.02,18.35,45.7,67.36,86.89,98.12,96.42,87.67,68.62,49.05,25.27,8.48,,,,,,
m01-W-A-50-eyrewell-store600,01,W,A,50,90.96,82.79,67.68,48.26,14.52,5.9,5.17,18.32,45.64,67.43,87.09,98.18,96.66,87.61,68.39,49.23,25.32,8.48,,,,,,
