,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-oxford-dryland,01,A,A,25,10.6,7.46,8.78,17.8,10.41,0.03,0.19,3.44,9.39,28.89,51.4,22.54,10.75,6.38,6.01,10.9,7.51,0.0,,,,,,
m01-A-A-5-oxford-dryland,01,A,A,5,10.0,6.75,8.85,17.82,10.34,0.05,0.21,3.68,9.47,28.75,51.12,23.56,10.08,6.48,5.42,10.61,7.29,0.0,,,,,,
m01-A-A-50-oxford-dryland,01,A,A,50,10.38,6.9,9.2,18.03,10.59,0.05,0.17,3.59,9.37,28.98,51.8,22.23,10.03,6.84,5.43,10.79,7.21,0.0,,,,,,
m01-A-A-75-oxford-dryland,01,A,A,75,10.21,6.74,9.13,17.79,10.41,0.05,0.16,3.65,9.5,28.75,50.96,22.58,10.66,6.62,5.69,11.0,7.54,0.0,,,,,,
m01-A-A-95-oxford-dryland,01,A,A,95,10.01,7.07,8.73,17.8,10.39,0.04,0.18,3.58,9.42,28.46,51.44,22.34,10.19,6.39,6.02,10.82,7.43,0.0,,,,,,
m01-A-C-25-oxford-dryland,01,A,C,25,5.79,5.38,8.23,16.72,9.92,0.04,0.19,3.6,9.13,28.59,52.43,23.8,6.05,4.98,5.76,10.5,7.28,0.0,,,,,,
m01-A-C-5-oxford-dryland,01,A,C,5,5.89,5.33,8.02,15.86,9.83,0.04,0.14,3.62,9.11,28.68,51.77,23.22,5.9,5.26,5.54,10.66,7.23,0.01,,,,,,
m01-A-C-50-oxford-dryland,01,A,C,50,5.65,5.05,8.39,16.29,9.92,0.04,0.18,3.54,9.17,28.58,51.6,22.46,6.0,5.3,5.66,10.54,7.12,0.0,,,,,,
m01-A-C-75-oxford-dryland,01,A,C,75,5.58,5.28,7.81,16.71,9.71,0.04,0.19,3.66,9.16,28.34,51.52,22.94,6.08,4.67,5.67,11.09,7.34,0.0,,,,,,
m01-A-C-95-oxford-dryland,01,A,C,95,5.89,5.17,8.08,16.29,9.82,0.04,0.15,3.54,9.1,28.61,50.58,22.31,5.33,4.8,5.74,10.82,7.31,0.0,,,,,,
m01-A-H-25-oxford-dryland,01,A,H,25,6.94,5.35,8.79,16.47,9.61,0.03,0.12,3.55,9.13,28.62,51.52,23.43,6.64,5.12,5.1,9.95,6.91,0.0,,,,,,
m01-A-H-5-oxford-dryland,01,A,H,5,6.78,5.34,8.61,16.36,9.52,0.03,0.17,3.4,9.19,28.6,51.92,22.69,6.67,4.45,4.87,9.7,6.64,0.0,,,,,,
m01-A-H-50-oxford-dryland,01,A,H,50,6.62,5.53,8.37,16.14,9.51,0.04,0.16,3.42,8.92,28.75,51.53,23.78,6.85,4.91,5.53,10.15,7.07,0.0,,,,,,
m01-A-H-75-oxford-dryland,01,A,H,75,6.7,5.52,8.69,16.51,9.7,0.03,0.16,3.5,9.12,28.45,51.41,22.72,6.78,4.62,5.42,9.91,6.9,0.0,,,,,,
m01-A-H-95-oxford-dryland,01,A,H,95,6.32,5.33,8.59,16.04,9.62,0.05,0.16,3.48,9.03,28.65,51.31,23.2,6.92,5.47,5.35,10.25,6.92,0.0,,,,,,
m01-D-A-25-oxford-dryland,01,D,A,25,0.45,1.18,5.47,11.28,6.53,0.03,0.23,3.42,8.24,27.57,50.5,22.89,0.49,0.99,4.86,8.56,4.89,0.0,,,,,,
m01-D-A-5-oxford-dryland,01,D,A,5,0.57,1.3,5.62,11.39,6.66,0.03,0.22,3.56,8.44,27.95,50.56,23.67,0.53,1.11,5.05,8.22,5.07,0.0,,,,,,
m01-D-A-50-oxford-dryland,01,D,A,50,0.45,1.14,5.52,11.18,6.71,0.02,0.18,3.48,8.22,27.71,50.7,23.35,0.54,1.19,4.53,8.23,4.8,0.0,,,,,,
m01-D-A-75-oxford-dryland,01,D,A,75,0.47,1.33,4.99,11.18,6.43,0.03,0.18,3.43,8.43,27.94,51.63,21.91,0.42,1.12,4.75,8.07,4.7,0.0,,,,,,
m01-D-A-95-oxford-dryland,01,D,A,95,0.49,1.37,5.7,11.03,6.65,0.03,0.19,3.49,8.32,27.75,50.51,22.99,0.44,1.13,4.68,8.22,4.82,0.0,,,,,,
m01-D-C-25-oxford-dryland,01,D,C,25,1.15,2.19,6.15,13.53,7.8,0.04,0.22,3.72,8.68,27.94,50.74,22.31,1.05,1.76,4.83,8.74,5.51,0.0,,,,,,
m01-D-C-5-oxford-dryland,01,D,C,5,1.22,2.24,6.91,13.14,8.04,0.04,0.21,3.53,8.65,28.24,51.06,23.38,1.13,1.8,4.96,8.89,5.75,0.0,,,,,,
m01-D-C-50-oxford-dryland,01,D,C,50,1.05,1.82,6.48,12.26,7.43,0.03,0.17,3.37,8.59,27.92,50.78,22.39,1.23,1.82,5.16,9.03,5.64,0.0,,,,,,
m01-D-C-75-oxford-dryland,01,D,C,75,1.21,2.37,6.68,13.05,7.75,0.03,0.19,3.48,8.65,28.03,51.39,23.47,1.03,1.82,5.33,8.88,5.76,0.0,,,,,,
m01-D-C-95-oxford-dryland,01,D,C,95,1.1,2.11,6.79,13.35,7.71,0.04,0.19,3.64,8.7,28.43,51.59,22.35,1.22,1.73,5.09,8.66,5.55,0.0,,,,,,
m01-D-H-25-oxford-dryland,01,D,H,25,0.98,1.53,5.58,11.77,6.84,0.03,0.16,3.45,8.33,27.6,50.39,22.35,1.02,1.52,4.8,8.51,5.14,0.0,,,,,,
m01-D-H-5-oxford-dryland,01,D,H,5,1.05,1.66,5.94,11.65,6.98,0.04,0.23,3.59,8.36,28.01,51.13,23.76,0.98,1.57,5.09,8.61,5.29,0.0,,,,,,
m01-D-H-50-oxford-dryland,01,D,H,50,0.97,1.76,6.06,11.37,6.93,0.03,0.16,3.4,8.48,28.06,51.49,22.24,0.8,1.32,4.58,8.53,4.92,0.0,,,,,,
m01-D-H-75-oxford-dryland,01,D,H,75,1.12,1.68,6.31,12.23,7.16,0.02,0.17,3.5,8.52,27.94,51.23,22.6,0.92,1.42,4.93,8.11,5.22,0.0,,,,,,
m01-D-H-95-oxford-dryland,01,D,H,95,0.89,1.8,5.6,12.07,6.8,0.03,0.16,3.41,8.48,27.84,50.71,22.71,0.99,1.31,5.03,8.96,4.9,0.0,,,,,,
m01-W-A-25-oxford-dryland,01,W,A,25,41.47,16.27,10.71,21.63,12.63,0.13,0.37,4.68,10.53,29.35,51.04,22.19,42.23,17.71,8.73,14.92,9.11,0.01,,,,,,
m01-W-A-5-oxford-dryland,01,W,A,5,41.18,16.53,10.99,21.61,12.57,0.13,0.39,4.67,10.7,29.53,50.75,21.69,42.3,18.21,8.87,14.79,9.07,0.01,,,,,,
m01-W-A-50-oxford-dryland,01,W,A,50,40.99,15.91,10.45,21.16,12.49,0.12,0.35,4.61,10.56,29.23,50.52,23.05,42.66,18.18,9.01,14.69,9.2,0.01,,,,,,
m01-W-A-75-oxford-dryland,01,W,A,75,41.21,15.67,10.81,21.3,12.61,0.14,0.35,4.6,10.56,29.66,50.13,22.1,42.82,18.46,8.64,14.78,9.03,0.02,,,,,,
m01-W-A-95-oxford-dryland,01,W,A,95,40.71,15.96,10.69,21.09,12.65,0.12,0.38,4.71,10.61,29.37,50.92,22.33,42.52,18.0,8.96,14.31,8.97,0.01,,,,,,
m01-W-C-25-oxford-dryland,01,W,C,25,35.16,13.77,10.15,20.88,12.49,0.11,0.33,4.49,10.53,29.2,49.36,21.98,35.34,16.62,9.16,14.95,9.3,0.02,,,,,,
m01-W-C-5-oxford-dryland,01,W,C,5,35.02,15.07,10.39,21.17,12.43,0.12,0.31,4.49,10.47,29.45,50.42,22.92,35.58,16.88,8.98,14.74,9.07,0.01,,,,,,
m01-W-C-50-oxford-dryland,01,W,C,50,34.83,14.6,10.63,21.23,12.5,0.11,0.36,4.54,10.48,28.98,51.24,23.33,35.86,16.65,8.92,14.95,9.28,0.01,,,,,,
m01-W-C-75-oxford-dryland,01,W,C,75,35.2,15.28,10.58,21.4,12.69,0.11,0.4,4.62,10.54,29.72,51.54,21.89,36.45,16.72,9.37,15.18,9.33,0.02,,,,,,
m01-W-C-95-oxford-dryland,01,W,C,95,35.48,14.65,10.99,21.36,12.6,0.13,0.35,4.61,10.56,29.53,50.57,22.85,35.64,16.56,8.59,14.38,9.11,0.01,,,,,,
m01-W-H-25-oxford-dryland,01,W,H,25,40.95,15.76,10.75,21.25,12.38,0.12,0.35,4.5,10.47,29.57,50.77,22.42,43.17,17.58,8.23,14.1,8.69,0.0,,,,,,
m01-W-H-5-oxford-dryland,01,W,H,5,41.63,16.2,10.14,20.78,12.43,0.12,0.35,4.45,10.52,29.46,51.75,22.95,43.09,18.15,8.25,14.23,8.82,0.01,,,,,,
m01-W-H-50-oxford-dryland,01,W,H,50,40.91,16.31,11.1,21.47,12.63,0.13,0.38,4.52,10.56,29.6,50.59,23.34,42.61,17.7,8.17,13.88,8.7,0.01,,,,,,
m01-W-H-75-oxford-dryland,01,W,H,75,41.63,15.75,10.59,21.22,12.5,0.12,0.34,4.55,10.44,29.58,51.33,22.34,42.78,18.08,8.27,14.09,8.61,0.01,,,,,,
