,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-oxford-irrigated,01,A,A,25,83.2,74.34,58.54,38.72,8.81,0.57,0.09,1.82,26.13,51.48,74.48,86.64,89.06,80.64,60.44,39.86,15.24,2.23,,,,,,
m01-A-A-5-oxford-irrigated,01,A,A,5,83.16,74.36,58.74,38.57,8.69,0.64,0.1,1.79,26.12,51.47,74.68,86.61,89.06,80.54,60.76,39.84,15.24,2.06,,,,,,
m01-A-A-50-oxford-irrigated,01,A,A,50,83.12,74.48,58.72,38.69,8.83,0.62,0.09,1.77,26.03,51.45,74.69,86.86,89.04,80.53,60.66,39.98,15.25,2.13,,,,,,
m01-A-A-75-oxford-irrigated,01,A,A,75,81.84,73.85,58.51,38.51,8.75,0.6,0.08,1.8,25.96,51.54,74.64,86.53,87.25,79.91,60.77,40.06,15.16,2.16,,,,,,
m01-A-A-95-oxford-irrigated,01,A,A,95,75.71,71.94,58.12,38.22,8.78,0.64,0.1,1.78,25.81,51.16,74.41,86.31,81.48,76.91,60.5,39.72,15.11,2.11,,,,,,
m01-A-C-25-oxford-irrigated,01,A,C,25,73.16,74.44,59.49,39.15,9.05,0.58,0.09,2.0,26.35,51.55,74.79,86.67,84.49,79.17,61.64,40.55,15.54,2.08,,,,,,
m01-A-C-5-oxford-irrigated,01,A,C,5,72.88,74.48,59.36,39.14,8.7,0.63,0.1,2.03,26.75,51.64,74.86,86.75,84.49,79.23,61.52,40.71,15.54,2.19,,,,,,
m01-A-C-50-oxford-irrigated,01,A,C,50,73.3,74.72,59.54,39.05,8.73,0.64,0.09,1.86,26.37,51.62,74.56,86.75,84.59,79.3,61.86,40.55,15.38,2.19,,,,,,
m01-A-C-75-oxford-irrigated,01,A,C,75,72.13,74.19,59.38,39.01,8.83,0.62,0.09,1.95,26.39,51.56,74.85,86.63,83.38,78.48,61.73,40.67,15.47,2.24,,,,,,
m01-A-C-95-oxford-irrigated,01,A,C,95,67.2,72.25,59.13,38.89,8.84,0.67,0.09,1.91,26.07,51.3,74.59,86.23,77.19,75.81,61.5,40.35,15.47,2.19,,,,,,
m01-A-H-25-oxford-irrigated,01,A,H,25,88.77,73.92,57.57,37.87,8.53,0.56,0.1,1.71,25.75,51.13,74.5,86.5,90.45,81.02,59.36,39.33,15.0,1.99,,,,,,
m01-A-H-5-oxford-irrigated,01,A,H,5,88.88,73.96,57.44,37.97,8.68,0.64,0.07,1.67,25.35,51.09,74.67,86.54,90.66,81.01,59.34,39.29,14.95,1.97,,,,,,
