,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-oxford-store600,01,A,A,25,84.27,75.01,58.95,38.73,8.84,0.56,0.06,1.85,26.21,51.54,74.64,86.54,89.24,80.69,60.71,40.06,15.41,2.02,,,,,,
m01-A-A-5-oxford-store600,01,A,A,5,84.3,74.94,59.02,38.66,8.62,0.63,0.1,1.84,26.24,51.62,74.75,86.8,89.09,80.54,60.91,39.87,15.29,2.15,,,,,,
m01-A-A-50-oxford-store600,01,A,A,50,84.36,75.05,58.93,38.8,8.82,0.64,0.11,1.89,26.08,51.53,74.83,86.74,89.08,80.65,60.62,40.02,15.11,2.22,,,,,,
m01-A-A-75-oxford-store600,01,A,A,75,84.26,74.98,58.96,38.8,8.73,0.65,0.09,1.74,26.35,51.54,74.72,86.69,89.11,80.64,60.89,40.04,15.18,2.07,,,,,,
m01-A-A-95-oxford-store600,01,A,A,95,84.41,75.05,58.81,38.75,8.87,0.6,0.09,1.97,26.17,51.51,74.78,86.72,89.11,80.8,60.86,39.95,15.19,2.17,,,,,,
m01-A-C-25-oxford-store600,01,A,C,25,74.56,75.01,59.71,39.43,8.91,0.65,0.09,2.08,26.57,51.95,74.88,86.86,84.54,79.06,62.09,40.61,15.53,2.19,,,,,,
m01-A-C-5-oxford-store600,01,A,C,5,74.73,75.01,59.9,39.21,9.02,0.69,0.11,1.9,26.55,51.98,74.48,86.74,84.58,79.27,61.97,40.83,15.52,2.24,,,,,,
m01-A-C-50-oxford-store600,01,A,C,50,74.65,75.05,59.96,39.22,8.92,0.66,0.1,2.03,26.73,51.84,74.7,86.68,84.56,79.38,61.81,40.75,15.49,2.23,,,,,,
m01-A-C-75-oxford-store600,01,A,C,75,74.77,75.03,59.88,39.45,8.97,0.67,0.11,1.97,26.51,51.83,74.65,86.65,84.62,79.23,61.99,40.74,15.56,2.19,,,,,,
m01-A-C-95-oxford-store600,01,A,C,95,74.5,74.98,59.92,39.24,8.7,0.64,0.12,1.98,26.46,51.83,74.94,86.7,84.61,79.2,61.86,40.86,15.48,2.2,,,,,,
m01-A-H-25-oxford-store600,01,A,H,25,89.23,74.64,57.81,38.09,8.64,0.61,0.08,1.71,25.9,51.19,74.63,86.58,90.64,81.11,59.67,39.12,15.05,2.05,,,,,,
m01-A-H-5-oxford-store600,01,A,H,5,89.17,74.6,57.82,38.15,8.74,0.57,0.07,1.74,25.8,50.97,74.56,86.66,90.54,81.13,59.54,39.55,15.13,2.01,,,,,,
m01-A-H-50-oxford-store600,01,A,H,50,89.36,74.59,57.77,38.07,8.72,0.58,0.06,1.69,25.51,51.37,74.37,86.51,90.66,81.08,59.62,39.13,15.06,2.05,,,,,,
m01-A-H-75-oxford-store600,01,A,H,75,89.26,74.58,57.78,38.05,8.75,0.56,0.09,1.74,25.64,51.16,74.47,86.65,90.58,81.04,59.54,39.27,15.0,1.98,,,,,,
m01-A-H-95-oxford-store600,01,A,H,95,89.27,74.45,57.91,38.11,8.78,0.63,0.09,1.65,25.7,51.23,74.55,86.37,90.47,81.1,59.55,39.26,15.0,2.05,,,,,,
m01-D-A-25-oxford-store600,01,D,A,25,84.78,74.86,59.05,38.89,8.81,0.56,0.09,1.93,26.23,51.58,74.82,86.91,90.59,80.56,60.91,40.12,15.26,2.14,,,,,,
m01-D-A-5-oxford-store600,01,D,A,5,84.96,74.87,59.12,38.86,8.93,0.66,0.1,1.8,26.52,51.48,74.73,86.94,90.74,80.62,61.02,40.25,15.23,2.11,,,,,,
m01-D-A-50-oxford-store600,01,D,A,50,84.88,74.88,59.04,38.76,9.0,0.54,0.06,1.88,26.15,51.65,74.82,86.91,90.59,80.46,60.95,40.19,15.31,2.14,,,,,,
m01-D-A-75-oxford-store600,01,D,A,75,85.04,74.83,59.1,38.9,8.92,0.63,0.09,1.91,26.08,51.6,74.85,86.9,90.62,80.23,61.05,40.12,15.34,2.27,,,,,,
m01-D-A-95-oxford-store600,01,D,A,95,77.67,65.09,57.41,38.1,8.68,0.56,0.09,1.83,25.69,50.96,74.26,86.46,83.87,68.02,59.22,39.29,14.95,2.03,,,,,,
m01-D-C-25-oxford-store600,01,D,C,25,72.84,74.91,60.07,39.39,8.95,0.64,0.08,1.84,26.36,52.13,74.89,86.59,83.78,78.93,62.07,40.77,15.56,2.2,,,,,,
m01-D-C-5-oxford-store600,01,D,C,5,72.92,74.93,59.91,39.34,8.92,0.64,0.09,1.91,26.63,51.87,74.9,86.66,83.87,78.91,62.03,40.97,15.63,2.27,,,,,,
m01-D-C-50-oxford-store600,01,D,C,50,72.94,74.92,59.99,39.29,8.93,0.68,0.11,2.05,26.7,52.03,74.77,86.71,83.93,78.98,62.15,40.91,15.65,2.29,,,,,,
m01-D-C-75-oxford-store600,01,D,C,75,73.05,74.78,59.9,39.37,8.96,0.72,0.09,1.8,26.58,51.93,74.62,86.73,83.87,78.73,62.12,40.78,15.53,2.13,,,,,,
m01-D-C-95-oxford-store600,01,D,C,95,69.83,68.11,58.67,38.91,8.95,0.64,0.11,1.83,26.19,51.44,74.38,86.32,80.04,70.51,61.03,40.3,15.26,2.14,,,,,,
